도로코드,보행안전지수,accident_count,mapped_link_count
215,-2.450205522,0,2
216,3.493521198,0,0
217,0.754514464,0,0
218,4.471324882,0,0
219,4.303381218,0,0
220,7.338703001,0,1
221,11.99648119,0,0
222,10.25231669,0,0
223,8.520528288,0,0
224,9.853367458,0,1
225,9.329456541,0,0
226,-6.041119256,0,0
227,-10.20572611,0,0
228,-6.421656226,0,0
229,16.15033247,1,1
230,19.88664664,0,0
231,-14.43864821,0,0
232,-1.022755374,0,0
233,-3.992888397,0,0
234,7.395770839,0,0
235,-9.113525456,0,1
236,-2.708705392,0,0
237,-7.304526421,0,0
238,5.088213587,0,0
239,17.40353726,0,0
240,15.41291766,0,1
241,26.67419837,0,0
242,-4.192946986,0,0
243,3.935924233,0,0
244,-10.99463572,0,0
245,-5.100537376,0,0
246,5.634117275,0,0
247,4.840779351,0,0
248,-4.703192867,0,0
249,1.893083028,0,0
250,2.01744416,0,0
251,16.84616645,0,0
252,-1.342470565,0,1
253,-7.568197188,0,1
254,-15.20420418,1,1
255,-1.82258637,0,0
256,21.32742552,0,0
257,31.43628606,0,0
258,15.55389499,0,0
259,12.19456072,0,0
260,14.91803583,0,0
261,8.051878192,1,0
262,7.065670746,1,1
263,24.19428253,0,0
264,19.16153748,0,0
265,11.08697744,0,0
266,12.93533089,1,0
267,30.18197769,0,0
268,55.65139866,1,0
269,29.07079344,0,0
270,18.82357298,0,0
271,25.8359553,0,1
272,9.229603947,0,1
273,-3.467292885,0,0
274,27.98420858,0,0
275,22.43907089,0,0
276,57.73833252,0,0
277,4.933365947,0,0
278,23.55132199,0,1
279,-12.44678095,0,0
280,3.502460548,0,0
281,10.08740657,0,0
282,17.2090938,0,0
283,5.341277539,1,0
284,30.20389941,0,0
285,9.094329034,0,0
286,5.572928055,0,0
287,5.327426602,0,0
288,-5.415147995,1,1
289,13.21221737,0,4
290,48.61980731,1,3
291,10.28137227,0,1
292,21.26513351,0,2
293,9.434976076,0,0
294,22.83188808,0,1
295,20.15241327,0,0
296,35.86717429,0,0
297,37.42691348,0,0
298,15.31205618,0,2
299,21.57862892,5,4
300,4.233749869,0,0
301,26.03591386,0,0
302,10.41892722,0,0
303,10.99078209,0,0
304,9.85123186,0,0
305,6.794927148,0,2
306,17.0236353,0,0
307,10.66377593,0,0
308,2.289514045,0,0
309,9.194937466,0,0
310,5.310780757,0,0
311,10.56626733,0,0
312,3.953460611,0,0
